Dataset,Variant,Done,Num feat.,Evidence dim,F1 mean,F1 std
Meta,Base GNN,5/5,31,0,0.9834675778136774,0.007974930668883612
Meta,GNN + Rule,5/5,37,6,0.9840250323926868,0.003579681648730554
Meta,GNN + Qwen Motif,5/5,115,84,0.9800173815879322,0.00934405736573636
Meta,GNN + Rule + Qwen Motif,5/5,121,90,0.9856321719076693,0.006859870800672901
ZipZap,Base GNN,4/5,31,0,0.9165196906592927,0.007088578135217033
ZipZap,GNN + Rule,2/5,37,6,0.920367871087138,0.0033966148481740805
ZipZap,GNN + Qwen Motif,2/5,115,84,0.9188148528526401,0.00429843393386941
ZipZap,GNN + Rule + Qwen Motif,2/5,121,90,0.9243209397488359,0.002761278420959119
Illicit-ETH,Base GNN,5/5,63,0,0.9719070752308037,0.013465745212232299
Illicit-ETH,GNN + Rule,5/5,69,6,0.9684924726220031,0.010503984169741704
Illicit-ETH,GNN + Qwen Motif,5/5,147,84,0.9745936432009753,0.004175479599697161
Illicit-ETH,GNN + Rule + Qwen Motif,5/5,153,90,0.9684372068002319,0.0062344150687293366
EPSD-Ponzi,Base GNN,5/5,44,0,0.6411539237867753,0.06400075926286866
EPSD-Ponzi,GNN + Rule,5/5,50,6,0.6781322841954174,0.046534352677942876
EPSD-Ponzi,GNN + Qwen Motif,5/5,128,84,0.6506604641944707,0.05814778448962746
EPSD-Ponzi,GNN + Rule + Qwen Motif,5/5,134,90,0.6906087992343252,0.03572459904425253
