dataset,method,method_label,group,completed,expected,test_f1_mean,test_f1_std,test_auc_mean,test_auc_std,test_ap_mean,test_ap_std,precision_mean,precision_std,recall_mean,recall_std,val_f1_mean,val_f1_std
Meta,graphsage,Base GraphSAGE,base,5,5,0.9692435786289058,0.014955549021894166,0.9922652454841296,0.003187832123202027,0.9933280957398273,0.003089993205795622,0.9686232948086396,0.02076920817131771,0.9703296703296703,0.023504669929898248,0.9867431984148065,0.0035810088494833466
Meta,rule,GNN + rule evidence,evidence,5,5,0.9720498620613403,0.01009065055892472,0.9935858133283026,0.0028229511486693886,0.9947544493190634,0.0026909411159479536,0.9705968192318534,0.015299423086842763,0.9736263736263736,0.010568892341577624,0.9889531934810202,0.0027436575734233986
Meta,qwen,GNN + Qwen motif,evidence,5,5,0.9711961506479412,0.013178192769194437,0.9932368061123427,0.0029756445168226085,0.9941752798927472,0.003022499641709551,0.9646571873719059,0.023113670030378154,0.978021978021978,0.005494505494505475,0.9878877687968597,0.004969240651852551
Meta,rule_qwen,GNN + rule + Qwen motif,evidence,5,5,0.973185275952487,0.009422477943195375,0.9944206008583691,0.002490932604421699,0.9953998070369627,0.0020770626867425233,0.9706662663267265,0.015367143484885994,0.9758241758241758,0.008332830158298422,0.9889741588102244,8.160954671754644e-05
ZipZap,graphsage,Base GraphSAGE,base,5,5,0.8874815214861322,0.006353232508499802,0.9735269247074386,0.0015046700534455002,0.9478531653582849,0.0025134732725750424,0.8682700861358019,0.00908207858807778,0.9077408599521947,0.013979386259097143,0.9005169838699552,0.006346108164255878
ZipZap,rule,GNN + rule evidence,evidence,5,5,0.8918000349411795,0.006477054378135081,0.9758873867773219,0.002408901658487174,0.9532685755960376,0.003477670860996241,0.8766202885358532,0.013739498919104422,0.9080022951977401,0.020794638600631504,0.9075724472917786,0.004597108872562968
ZipZap,qwen,GNN + Qwen motif,evidence,5,5,0.9031889439708468,0.004985966994225204,0.9797193304030718,0.00189146047444671,0.9603400877782334,0.003578538181194034,0.8909997010400794,0.01777789086692653,0.9160762304432856,0.010729476099112808,0.9146248234138791,0.004867411156895338
ZipZap,rule_qwen,GNN + rule + Qwen motif,evidence,5,5,0.9056748477093386,0.007488728068911092,0.9819226515502496,0.002241592391539062,0.9652293552765558,0.002805985311849821,0.8932286949956431,0.010008674377341929,0.9186912619513256,0.01618787899806955,0.9181566048694525,0.004706505388213491
Illicit-ETH,graphsage,Base GraphSAGE,base,5,5,0.9452202754830442,0.003633181885292935,0.9852498977505113,0.0028502045998514344,0.9862387518359785,0.0016725168774835138,0.9428152472815041,0.01905490370760474,0.9484662576687116,0.02542498869337679,0.9717401197136382,0.003031585684301819
Illicit-ETH,rule,GNN + rule evidence,evidence,5,5,0.9489765458204246,0.007656473691973085,0.9849276073619632,0.005492382964875926,0.9816773954698472,0.009605274944454524,0.9346621627283371,0.020079570595285635,0.9644171779141104,0.022499534749561054,0.9706598941844414,0.005347257960503574
Illicit-ETH,qwen,GNN + Qwen motif,evidence,5,5,0.9538928161473903,0.003526780298390268,0.9880229038854805,0.005663886023414401,0.9866506632599235,0.009347330497752642,0.9500281952950775,0.017480552981773107,0.9582822085889571,0.0174334628691814,0.9744988286530918,0.0036714015118287043
Illicit-ETH,rule_qwen,GNN + rule + Qwen motif,evidence,5,5,0.9627856105757432,0.008117066663445128,0.9886985685071575,0.0065816517191388734,0.9906357385823664,0.005586639581385213,0.9639213880459802,0.0099620738885499,0.9619631901840491,0.02018488819185531,0.9766862226424052,0.0020044197834644902
EPSD-Ponzi,graphsage,Base GraphSAGE,base,5,5,0.6034522827674715,0.05077429826389931,0.8907926107926109,0.019659156381098136,0.6901877592470034,0.061432020808471925,0.6112603181230633,0.047468004695924854,0.6,0.07908516820631667,0.6513777106282541,0.05660802721644842
EPSD-Ponzi,rule,GNN + rule evidence,evidence,5,5,0.6477011494252873,0.044527796386018774,0.9042060242060243,0.02265377255157087,0.7235366387283142,0.06373476794228548,0.6906119257086999,0.06207692069458109,0.6141414141414141,0.06444096124338013,0.6708509633238898,0.04930596469945535
EPSD-Ponzi,qwen,GNN + Qwen motif,evidence,5,5,0.6015361290985712,0.025909377491701278,0.8945236145236145,0.01880998339931748,0.6925196597594785,0.04465242537220654,0.6727330792585595,0.04795134365653588,0.5454545454545454,0.02766275542955384,0.6681495923432841,0.05614455312683983
EPSD-Ponzi,rule_qwen,GNN + rule + Qwen motif,evidence,5,5,0.6484877170828207,0.04421365806238417,0.9052106652106653,0.020589853612197374,0.7326617261935797,0.05883912072096563,0.7271810298123249,0.08049249299866443,0.591919191919192,0.07092319063249276,0.7014733069232221,0.05433795196898826
