dataset,seed,method,method_label,group,test_f1,test_auc,test_ap,precision,recall,val_f1,metrics_path
Meta,42,graphsage,Base GraphSAGE,base,0.949438202247191,0.989034570579635,0.9893323194184561,0.9712643678160919,0.9285714285714286,0.9861495844875346,outputs/paper_5seed_qwen_counter_clean_20260615/Meta/seed_42/sage_no_evidence/metrics.json
Meta,43,graphsage,Base GraphSAGE,base,0.9835164835164835,0.9959439701928973,0.9965457383784441,0.9835164835164835,0.9835164835164835,0.989010989010989,outputs/paper_5seed_qwen_counter_clean_20260615/Meta/seed_43/sage_no_evidence/metrics.json
Meta,44,graphsage,Base GraphSAGE,base,0.978021978021978,0.9933499976418432,0.994908165531512,0.978021978021978,0.978021978021978,0.9888888888888889,outputs/paper_5seed_qwen_counter_clean_20260615/Meta/seed_44/sage_no_evidence/metrics.json
Meta,45,graphsage,Base GraphSAGE,base,0.9572192513368984,0.9888223364618215,0.9907993814388397,0.9322916666666666,0.9835164835164835,0.9807162534435262,outputs/paper_5seed_qwen_counter_clean_20260615/Meta/seed_45/sage_no_evidence/metrics.json
Meta,46,graphsage,Base GraphSAGE,base,0.978021978021978,0.9941753525444513,0.9950548739318843,0.978021978021978,0.978021978021978,0.988950276243094,outputs/paper_5seed_qwen_counter_clean_20260615/Meta/seed_46/sage_no_evidence/metrics.json
Meta,42,rule,GNN + rule evidence,evidence,0.9613259668508287,0.9897420176390134,0.9906614716807278,0.9666666666666667,0.9560439560439561,0.9916897506925207,outputs/paper_5seed_qwen_counter_clean_20260615/Meta/seed_42/sage_rule_evidence/metrics.json
Meta,43,rule,GNN + rule evidence,evidence,0.9779005524861878,0.9957553176437297,0.9967310490399772,0.9833333333333333,0.9725274725274725,0.9917355371900827,outputs/paper_5seed_qwen_counter_clean_20260615/Meta/seed_43/sage_rule_evidence/metrics.json
Meta,44,rule,GNN + rule evidence,evidence,0.9700272479564033,0.9941046078385134,0.9957170050591604,0.9621621621621622,0.978021978021978,0.9888888888888889,outputs/paper_5seed_qwen_counter_clean_20260615/Meta/seed_44/sage_rule_evidence/metrics.json
Meta,45,rule,GNN + rule evidence,evidence,0.964769647696477,0.9917700325425647,0.9934992744937842,0.9518716577540107,0.978021978021978,0.9862258953168044,outputs/paper_5seed_qwen_counter_clean_20260615/Meta/seed_45/sage_rule_evidence/metrics.json
Meta,46,rule,GNN + rule evidence,evidence,0.9862258953168044,0.9965570909776919,0.9971634463216678,0.988950276243094,0.9835164835164835,0.9862258953168044,outputs/paper_5seed_qwen_counter_clean_20260615/Meta/seed_46/sage_rule_evidence/metrics.json
Meta,42,qwen,GNN + Qwen motif,evidence,0.9672131147540983,0.9891760599915108,0.9895409267191003,0.9619565217391305,0.9725274725274725,0.9862258953168044,outputs/paper_5seed_qwen_counter_clean_20260615/Meta/seed_42/sage_qwen_motif_channel/metrics.json
