dataset,method,method_label,group,completed,expected,test_f1_mean,test_f1_std,test_auc_mean,test_auc_std,test_ap_mean,test_ap_std,precision_mean,precision_std,recall_mean,recall_std,val_f1_mean,val_f1_std
Meta,logreg,Logistic Regression,Raw tabular,5,5,0.9652900938051219,0.006952545627476502,0.984549356223176,0.005158394701035611,0.970368921245392,0.018960621647859357,0.9840887000828934,0.009949062978939906,0.9472527472527472,0.008332830158298426,0.9775498750066673,0.003463457191174137
Meta,mlp,MLP,Raw tabular,5,5,0.9677445667925823,0.007915037065286533,0.9879545347356506,0.0038180081703755153,0.9854362701708472,0.01189502255093315,0.964363861401065,0.01783257244264969,0.9714285714285714,0.011911804059713624,0.9751789891441871,0.016742385720620697
Meta,rf,Random Forest,Raw tabular,5,5,0.9822674774024667,0.0031104799535038225,0.9917346601895958,0.003020685267568945,0.9942145693492328,0.002155165120255489,0.9911599511599511,0.009208891258467099,0.9736263736263736,0.0071639586870358525,0.9894397590516388,0.003618383737209563
Meta,lightgbm,LightGBM,Raw tabular,5,5,0.9807539742391632,0.009256514261016122,0.991215865679385,0.0036366303682229136,0.9940866161085119,0.002285357373707538,0.982528813348259,0.014453109154528599,0.9791208791208791,0.011260385457098468,0.991110906474035,0.0030711357234653545
Meta,gcn,GCN,GNN,5,5,0.9148270698235612,0.02479240509935187,0.9797575814743197,0.004907731798127505,0.9782998902962412,0.006150083467700511,0.9108781530656166,0.04140145446527705,0.9208791208791209,0.042311260017974646,0.9694530988856513,0.010261979296688373
Meta,gat,GAT,GNN,5,5,0.9676418776393658,0.008047912966518132,0.9918360609347734,0.0034638587229728905,0.9926014025080008,0.0024631059262392057,0.967475134538056,0.019051149794252504,0.9681318681318681,0.012529400275814697,0.986764441732688,0.002340696768347281
Meta,graphsage,GraphSAGE,GNN,5,5,0.9692435786289058,0.014955549021894166,0.9922652454841296,0.003187832123202027,0.9933280957398273,0.003089993205795622,0.9686232948086396,0.02076920817131771,0.9703296703296703,0.023504669929898248,0.9867431984148065,0.0035810088494833466
Meta,care_gnn,CARE-GNN,Generic Fraud GNN,5,5,0.9662951785971826,0.008746143090049414,0.9925010611705891,0.0031600181882595352,0.9932042815421751,0.003423629996067243,0.9713232004315674,0.012511310974262776,0.9615384615384616,0.016019098612212356,0.9855396849245187,0.00501732341694246
Meta,graphconsis_gnn,GraphConsis,Generic Fraud GNN,5,5,0.9674573772734337,0.011309499232349758,0.991925670895628,0.0037810234475736206,0.9919379775582629,0.0041223312332294565,0.9713170224428628,0.013925041024645165,0.9637362637362638,0.013791099338473773,0.986700378341804,0.0035891684407138567
Meta,pc_gnn,PC-GNN,Generic Fraud GNN,5,5,0.9850949076643778,0.006569751939402252,0.9954063104277697,0.002622404030639749,0.9964719560794775,0.0019695520066707836,0.9913137502252658,0.01403716583991416,0.9791208791208791,0.009828870230768328,0.9961279969549871,0.0031577168655992647
Meta,zipzap,ZipZap,Ethereum SOTA,5,5,0.9482076231502143,0.0059058174080945415,0.9902985426590577,0.0019544696584966803,0.9896945581304348,0.0027633316978339104,0.9423821623197356,0.024538659413761613,0.954945054945055,0.021421526032547187,0.9670951926759238,0.008605043396003596
Meta,lmae4eth,LMAE4Eth,Ethereum SOTA,5,5,0.9770624518269434,0.007206320405974704,0.9928217705041739,0.002448262033734484,0.9945888500671032,0.0018530956280786274,0.9729981133409485,0.015463391845134645,0.9813186813186813,0.007371652673076262,0.979579477069956,0.00697628081822356
Meta,bert4eth,BERT4ETH,Ethereum SOTA,5,5,0.9628691280401843,0.009462999821227008,0.9919351035230863,0.0030427534788983524,0.9916594290666636,0.003186475432164217,0.9578078496498196,0.01564903293353508,0.9681318681318681,0.010568892341577624,0.978005122611784,0.004702570516223992
Meta,tlmgnn,TLmGNN,Ethereum SOTA,5,5,0.9781567571682299,0.006678292270939815,0.9937556006225534,0.0030001650130576513,0.995213523431073,0.0020398086883010604,0.9752745116044336,0.018661460672662403,0.9813186813186813,0.007371652673076262,0.9857434732359228,0.002312486276864083
Meta,bwgnn,BWGNN,Graph Anomaly SOTA,5,5,0.9737834592644208,0.01190673920390733,0.9945290760741405,0.0021294691831785996,0.9947678176609178,0.0018222132837754168,0.9697089018792511,0.017746503465323537,0.978021978021978,0.010989010989010978,0.9802338672970397,0.003497894833171298
Meta,ours,Ours,Proposed,5,5,0.973185275952487,0.009422477943195375,0.9944206008583691,0.002490932604421699,0.9953998070369627,0.0020770626867425233,0.9706662663267265,0.015367143484885994,0.9758241758241758,0.008332830158298422,0.9889741588102244,8.160954671754644e-05
Meta,ours_imbalance,Ours+Imbalance,Proposed,5,5,0.9856596020625009,0.005991794208951352,0.9943640050936189,0.0020358147265100513,0.9957377343326138,0.0015831133539024706,0.9889437990839268,0.005517748586657572,0.9824175824175824,0.008149668667138104,0.9939363332130786,0.0036029548131156163
ZipZap,logreg,Logistic Regression,Raw tabular,5,5,0.6322951924367181,0.011072051260536089,0.7184703194485165,0.01436827853313987,0.4844349285899566,0.01991189689674921,0.5208676775478092,0.01208903558871153,0.8047876602564102,0.019666975745313287,0.626077497285729,0.010552764793790755
ZipZap,mlp,MLP,Raw tabular,5,5,0.6609406572712752,0.010022942357801181,0.8313837048187429,0.009945344807079513,0.7201691556978829,0.015361161097952533,0.542789088593424,0.048558117048869164,0.8576919681660148,0.07356677385836204,0.6608944296274859,0.010736294610415002
ZipZap,rf,Random Forest,Raw tabular,5,5,0.7026443816999116,0.01022955655109986,0.8801670436247002,0.011864391399840482,0.7960933496423376,0.02241207610177678,0.5852034894621383,0.006916930358652852,0.8796087299000435,0.02925243444452012,0.7042286871687977,0.007678179656859613
ZipZap,lightgbm,LightGBM,Raw tabular,5,5,0.7302810492848261,0.007394674878854308,0.8976901421310528,0.007815337585877834,0.8276241571816919,0.01527331855555238,0.7289200061147121,0.015356128678899548,0.7326169328552803,0.027607484917875097,0.7374261234492175,0.006462467622516766
ZipZap,gcn,GCN,GNN,5,5,0.7978449542800415,0.01896266452602898,0.9289892840643769,0.009273850931391858,0.8717108340335606,0.016600148329602993,0.7473310776385991,0.031327962581392595,0.8563922615167319,0.01350858756989735,0.8227601344816263,0.007649407368212868
ZipZap,gat,GAT,GNN,5,5,0.8790531661294972,0.007319556930692839,0.9668422296958031,0.00560503894849557,0.9375031290863403,0.009029706735927874,0.8470427652641024,0.02305431183374265,0.9145144094958714,0.02263518476857926,0.8958129787238748,0.007672599887847994
ZipZap,graphsage,GraphSAGE,GNN,5,5,0.8874815214861322,0.006353232508499802,0.9735269247074386,0.0015046700534455002,0.9478531653582849,0.0025134732725750424,0.8682700861358019,0.00908207858807778,0.9077408599521947,0.013979386259097143,0.9005169838699552,0.006346108164255878
