dataset,seed,method,method_label,group,test_f1,test_auc,test_ap,precision,recall,val_f1,metrics_path
Meta,42,logreg,Logistic Regression,Raw tabular,0.9555555555555556,0.977149459982078,0.9412768761227246,0.9662921348314607,0.945054945054945,0.9775280898876404,outputs/paper_main_baselines_clean_20260615/Meta/seed_42/tabular/logreg/metrics.json
Meta,43,logreg,Logistic Regression,Raw tabular,0.9662921348314607,0.9862283639107673,0.9723298682667245,0.9885057471264368,0.945054945054945,0.9719101123595506,outputs/paper_main_baselines_clean_20260615/Meta/seed_43/tabular/logreg/metrics.json
Meta,44,logreg,Logistic Regression,Raw tabular,0.9662921348314607,0.9833749941046079,0.9644702004094121,0.9885057471264368,0.945054945054945,0.9805013927576601,outputs/paper_main_baselines_clean_20260615/Meta/seed_44/tabular/logreg/metrics.json
Meta,45,logreg,Logistic Regression,Raw tabular,0.9749303621169917,0.9845540725369051,0.9888266268223157,0.9887005649717514,0.9615384615384616,0.9775280898876404,outputs/paper_main_baselines_clean_20260615/Meta/seed_45/tabular/logreg/metrics.json
Meta,46,logreg,Logistic Regression,Raw tabular,0.9633802816901409,0.9914398905815215,0.9849410346057828,0.9884393063583815,0.9395604395604396,0.9802816901408451,outputs/paper_main_baselines_clean_20260615/Meta/seed_46/tabular/logreg/metrics.json
Meta,42,mlp,MLP,Raw tabular,0.96398891966759,0.9841767674385701,0.9644221216051735,0.9720670391061452,0.9560439560439561,0.9945054945054945,outputs/paper_main_baselines_clean_20260615/Meta/seed_42/tabular/mlp/metrics.json
Meta,43,mlp,MLP,Raw tabular,0.967032967032967,0.9884921945007781,0.9895288554895241,0.967032967032967,0.967032967032967,0.9560439560439561,outputs/paper_main_baselines_clean_20260615/Meta/seed_43/tabular/mlp/metrics.json
Meta,44,mlp,MLP,Raw tabular,0.9806094182825484,0.9904494646983917,0.9933769207618971,0.9888268156424581,0.9725274725274725,0.988950276243094,outputs/paper_main_baselines_clean_20260615/Meta/seed_44/tabular/mlp/metrics.json
Meta,45,mlp,MLP,Raw tabular,0.959349593495935,0.9840116964580484,0.9884706661391579,0.946524064171123,0.9725274725274725,0.9613259668508287,outputs/paper_main_baselines_clean_20260615/Meta/seed_45/tabular/mlp/metrics.json
Meta,46,mlp,MLP,Raw tabular,0.967741935483871,0.9926425505824648,0.9913827868584834,0.9473684210526315,0.989010989010989,0.9750692520775623,outputs/paper_main_baselines_clean_20260615/Meta/seed_46/tabular/mlp/metrics.json
Meta,42,rf,Random Forest,Raw tabular,0.9834254143646409,0.9902372305805781,0.9930238222164993,0.9888888888888889,0.978021978021978,0.9944444444444445,outputs/paper_main_baselines_clean_20260615/Meta/seed_42/tabular/rf/metrics.json
Meta,43,rf,Random Forest,Raw tabular,0.9860724233983287,0.9917582417582418,0.9945389657547492,1.0,0.9725274725274725,0.9861495844875346,outputs/paper_main_baselines_clean_20260615/Meta/seed_43/tabular/rf/metrics.json
Meta,44,rf,Random Forest,Raw tabular,0.978021978021978,0.9947531009762769,0.995659640860914,0.978021978021978,0.978021978021978,0.9888888888888889,outputs/paper_main_baselines_clean_20260615/Meta/seed_44/tabular/rf/metrics.json
Meta,45,rf,Random Forest,Raw tabular,0.9803921568627451,0.9875017686176484,0.9912049015779366,1.0,0.9615384615384616,0.9860724233983287,outputs/paper_main_baselines_clean_20260615/Meta/seed_45/tabular/rf/metrics.json
Meta,46,rf,Random Forest,Raw tabular,0.9834254143646409,0.9944229590152337,0.9966455163360647,0.9888888888888889,0.978021978021978,0.9916434540389972,outputs/paper_main_baselines_clean_20260615/Meta/seed_46/tabular/rf/metrics.json
Meta,42,lightgbm,LightGBM,Raw tabular,0.9753424657534246,0.9893411309720324,0.9927428576096876,0.9726775956284153,0.978021978021978,0.9945054945054945,outputs/paper_main_baselines_clean_20260615/Meta/seed_42/tabular/lightgbm/metrics.json
Meta,43,lightgbm,LightGBM,Raw tabular,0.989010989010989,0.9922888270527755,0.9948378652523556,0.989010989010989,0.989010989010989,0.9888888888888889,outputs/paper_main_baselines_clean_20260615/Meta/seed_43/tabular/lightgbm/metrics.json
Meta,44,lightgbm,LightGBM,Raw tabular,0.9700272479564033,0.9917818233268878,0.9942789302325944,0.9621621621621622,0.978021978021978,0.9888888888888889,outputs/paper_main_baselines_clean_20260615/Meta/seed_44/tabular/lightgbm/metrics.json
Meta,45,lightgbm,LightGBM,Raw tabular,0.9776536312849162,0.986440598028581,0.9912532084669017,0.9943181818181818,0.9615384615384616,0.9888268156424581,outputs/paper_main_baselines_clean_20260615/Meta/seed_45/tabular/lightgbm/metrics.json
Meta,46,lightgbm,LightGBM,Raw tabular,0.9917355371900827,0.9962269490166487,0.99732021898102,0.994475138121547,0.989010989010989,0.9944444444444445,outputs/paper_main_baselines_clean_20260615/Meta/seed_46/tabular/lightgbm/metrics.json
Meta,42,gcn,GCN,GNN,0.896,0.9742725086072727,0.9731548621428935,0.8704663212435233,0.9230769230769231,0.9703504043126685,outputs/paper_main_baselines_clean_20260615/Meta/seed_42/sampled_gcn/metrics.json
Meta,43,gcn,GCN,GNN,0.947075208913649,0.9864405980285809,0.9883371844010096,0.96045197740113,0.9340659340659341,0.9534246575342465,outputs/paper_main_baselines_clean_20260615/Meta/seed_43/sampled_gcn/metrics.json
Meta,44,gcn,GCN,GNN,0.9361702127659575,0.9816535395934538,0.9797432590730013,0.9072164948453608,0.967032967032967,0.9675675675675676,outputs/paper_main_baselines_clean_20260615/Meta/seed_44/sampled_gcn/metrics.json
Meta,45,gcn,GCN,GNN,0.898936170212766,0.9756402395887375,0.9761123973336074,0.8711340206185567,0.9285714285714286,0.9752066115702479,outputs/paper_main_baselines_clean_20260615/Meta/seed_45/sampled_gcn/metrics.json
Meta,46,gcn,GCN,GNN,0.8959537572254336,0.9807810215535537,0.9741517485306942,0.9451219512195121,0.8516483516483516,0.9807162534435262,outputs/paper_main_baselines_clean_20260615/Meta/seed_46/sampled_gcn/metrics.json
Meta,42,gat,GAT,GNN,0.9641873278236914,0.9926661321511107,0.9929231719271601,0.9668508287292817,0.9615384615384616,0.9890710382513661,outputs/paper_main_baselines_clean_20260615/Meta/seed_42/sampled_gat/metrics.json
Meta,43,gat,GAT,GNN,0.9719101123595506,0.990803188228081,0.9907656585332295,0.9942528735632183,0.9505494505494505,0.9861495844875346,outputs/paper_main_baselines_clean_20260615/Meta/seed_43/sampled_gat/metrics.json
